source,url,price_text,rooms_text,sqm_text,district,listed_at_text
flatfy,https://flatfy.ua/redirect/4661345891,$ 541,"1 кімната, 45 / 28 / 8 м², поверх 23 з 26, з ремонтом, монолітно-каркасний, 2024, сьогодні о 08:25, Створено сьогодні о 08:25",45 м²,Виноградар,
flatfy,https://flatfy.ua/redirect/4524073601,$ 563,"1 кімната, 43 / 16 / 12 м², поверх 6 з 26, з ремонтом, монолітно-каркасний, 2022, сьогодні о 12:15, Створено сьогодні о 12:15",43 м²,Рибальський острів,
flatfy,https://flatfy.ua/redirect/4685748264,$ 833,"1 кімната, 46 / 24 / 22 м², поверх 5 з 16, з ремонтом, блочні, 2025, сьогодні о 12:53, Створено сьогодні о 12:53",46 м²,Теремки,
flatfy,https://flatfy.ua/redirect/4670943952,$ 496,"2 кімнати, 40 / - / 20 м², поверх 12 з 25, з ремонтом, монолітно-каркасний, 2022, сьогодні о 12:40, Створено сьогодні о 12:40",40 м²,Виноградар,
flatfy,https://flatfy.ua/redirect/4446514966,$ 271,"1 кімната, 29.8 / 15.4 / 6.6 м², поверх 9 з 9, з ремонтом, утеплена панель, 1981, сьогодні о 12:40, Створено сьогодні о 12:40",29.8 м²,,
flatfy,https://flatfy.ua/redirect/3928403395,$ 563,"1 кімната, 50 м², поверх 18 з 26, з ремонтом, монолітно-каркасний, 2015, сьогодні о 13:10, Створено сьогодні о 13:10",50 м²,Дніпровський,
flatfy,https://flatfy.ua/redirect/4657258757,$ 563,"1 кімната, 47 / 18 / 14 м², поверх 3 з 18, з ремонтом, сьогодні о 18:45, Створено сьогодні о 18:45",47 м²,,
flatfy,https://flatfy.ua/redirect/4580229342,$ 350,"3 кімнати, 71.1 / 42.9 / - м², поверх 9 з 9, з ремонтом, цегляний будинок, 1975, сьогодні о 09:41, Створено сьогодні о 09:41",71.1 м²,Нова Дарниця,
flatfy,https://flatfy.ua/redirect/4489731076,$ 653,"1 кімната, 44 / 15 / 20 м², поверх 16 з 26, з ремонтом, блочні, 2023, сьогодні о 08:58, Створено сьогодні о 08:58",44 м²,,
flatfy,https://flatfy.ua/redirect/3719066139,$ 327,"1 кімната, 50 / 25 / - м², поверх 5 з 12, з ремонтом, монолітно-каркасний, 2000, сьогодні о 09:42, Створено сьогодні о 09:42",50 м²,Дарницький,
flatfy,https://flatfy.ua/redirect/2858425577,$ 653,"3 кімнати, 124 м², поверх 12 з 18, з ремонтом, монолітно-каркасний, 2002, сьогодні о 11:06, Створено сьогодні о 11:06",124 м²,Печерський,
flatfy,https://flatfy.ua/redirect/4658823801,$ 203,"1 кімната, 38 м², поверх 6 з 10, з ремонтом, утеплена панель, 1983, сьогодні о 12:05, Створено сьогодні о 12:05",38 м²,Троєщина,
flatfy,https://flatfy.ua/redirect/3897229083,$ 406,"1 кімната, 38 м², поверх 9 з 25, з ремонтом, монолітно-каркасний, 2013, сьогодні о 11:22, Створено сьогодні о 11:22",38 м²,Оболонський,
flatfy,https://flatfy.ua/redirect/4667092451,$ 383,"2 кімнати, 52.5 м², поверх 22 з 24, з ремонтом, монолітно-каркасний, 2010, сьогодні о 11:20, Створено сьогодні о 11:20",52.5 м²,Троєщина,
flatfy,https://flatfy.ua/redirect/4616804552,$ 900,"1 кімната, 53 / 17 / 22 м², поверх 35 з 36, з ремонтом, монолітно-каркасний, 2021, сьогодні о 13:48, Створено сьогодні о 13:48",53 м²,Шулявка,
flatfy,https://flatfy.ua/redirect/4601035565,$ 586,"1 кімната, 43 / 14 / 18 м², поверх 20 з 25, з ремонтом, блочні, 2023, сьогодні о 14:02, Створено сьогодні о 14:02",43 м²,Виноградар,
flatfy,https://flatfy.ua/redirect/4685707194,$ 631,"3 кімнати, 126 / 78 / 14 м², поверх 23 з 30, з ремонтом, монолітно-каркасний, 2010, сьогодні о 11:42, Створено сьогодні о 11:42",126 м²,Дарницький,
flatfy,https://flatfy.ua/redirect/4437752503,$ 1 300,"3 кімнати, 80 м², поверх 17 з 24, з ремонтом, монолітно-каркасний, 2018, сьогодні о 12:58, Створено сьогодні о 12:58",80 м²,Нижній Печерськ,
