source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
flatfy,https://flatfy.ua/redirect/4661345891,541,USD,541.00,0,45,12.02,Виноградар,"1 кімната, 45 / 28 / 8 м², поверх 23 з 26, з ремонтом, монолітно-каркасний, 2024, сьогодні о 08:25, Створено сьогодні о 08:25",45 м²,$ 541
flatfy,https://flatfy.ua/redirect/4524073601,563,USD,563.00,0,43,13.09,Рибальський острів,"1 кімната, 43 / 16 / 12 м², поверх 6 з 26, з ремонтом, монолітно-каркасний, 2022, сьогодні о 12:15, Створено сьогодні о 12:15",43 м²,$ 563
flatfy,https://flatfy.ua/redirect/4685748264,833,USD,833.00,0,46,18.11,Теремки,"1 кімната, 46 / 24 / 22 м², поверх 5 з 16, з ремонтом, блочні, 2025, сьогодні о 12:53, Створено сьогодні о 12:53",46 м²,$ 833
flatfy,https://flatfy.ua/redirect/4670943952,496,USD,496.00,1,40,12.40,Виноградар,"2 кімнати, 40 / - / 20 м², поверх 12 з 25, з ремонтом, монолітно-каркасний, 2022, сьогодні о 12:40, Створено сьогодні о 12:40",40 м²,$ 496
flatfy,https://flatfy.ua/redirect/4446514966,271,USD,271.00,0,29.8,9.09,,"1 кімната, 29.8 / 15.4 / 6.6 м², поверх 9 з 9, з ремонтом, утеплена панель, 1981, сьогодні о 12:40, Створено сьогодні о 12:40",29.8 м²,$ 271
flatfy,https://flatfy.ua/redirect/3928403395,563,USD,563.00,0,50,11.26,Дніпровський,"1 кімната, 50 м², поверх 18 з 26, з ремонтом, монолітно-каркасний, 2015, сьогодні о 13:10, Створено сьогодні о 13:10",50 м²,$ 563
flatfy,https://flatfy.ua/redirect/4657258757,563,USD,563.00,0,47,11.98,,"1 кімната, 47 / 18 / 14 м², поверх 3 з 18, з ремонтом, сьогодні о 18:45, Створено сьогодні о 18:45",47 м²,$ 563
flatfy,https://flatfy.ua/redirect/4580229342,350,USD,350.00,2,71.1,4.92,Нова Дарниця,"3 кімнати, 71.1 / 42.9 / - м², поверх 9 з 9, з ремонтом, цегляний будинок, 1975, сьогодні о 09:41, Створено сьогодні о 09:41",71.1 м²,$ 350
flatfy,https://flatfy.ua/redirect/4489731076,653,USD,653.00,0,44,14.84,,"1 кімната, 44 / 15 / 20 м², поверх 16 з 26, з ремонтом, блочні, 2023, сьогодні о 08:58, Створено сьогодні о 08:58",44 м²,$ 653
flatfy,https://flatfy.ua/redirect/3719066139,327,USD,327.00,0,50,6.54,Дарницький,"1 кімната, 50 / 25 / - м², поверх 5 з 12, з ремонтом, монолітно-каркасний, 2000, сьогодні о 09:42, Створено сьогодні о 09:42",50 м²,$ 327
flatfy,https://flatfy.ua/redirect/2858425577,653,USD,653.00,2,124,5.27,Печерський,"3 кімнати, 124 м², поверх 12 з 18, з ремонтом, монолітно-каркасний, 2002, сьогодні о 11:06, Створено сьогодні о 11:06",124 м²,$ 653
flatfy,https://flatfy.ua/redirect/4658823801,203,USD,203.00,0,38,5.34,Троєщина,"1 кімната, 38 м², поверх 6 з 10, з ремонтом, утеплена панель, 1983, сьогодні о 12:05, Створено сьогодні о 12:05",38 м²,$ 203
flatfy,https://flatfy.ua/redirect/3897229083,406,USD,406.00,0,38,10.68,Оболонський,"1 кімната, 38 м², поверх 9 з 25, з ремонтом, монолітно-каркасний, 2013, сьогодні о 11:22, Створено сьогодні о 11:22",38 м²,$ 406
flatfy,https://flatfy.ua/redirect/4667092451,383,USD,383.00,1,52.5,7.30,Троєщина,"2 кімнати, 52.5 м², поверх 22 з 24, з ремонтом, монолітно-каркасний, 2010, сьогодні о 11:20, Створено сьогодні о 11:20",52.5 м²,$ 383
flatfy,https://flatfy.ua/redirect/4616804552,900,USD,900.00,0,53,16.98,Шулявка,"1 кімната, 53 / 17 / 22 м², поверх 35 з 36, з ремонтом, монолітно-каркасний, 2021, сьогодні о 13:48, Створено сьогодні о 13:48",53 м²,$ 900
flatfy,https://flatfy.ua/redirect/4601035565,586,USD,586.00,0,43,13.63,Виноградар,"1 кімната, 43 / 14 / 18 м², поверх 20 з 25, з ремонтом, блочні, 2023, сьогодні о 14:02, Створено сьогодні о 14:02",43 м²,$ 586
flatfy,https://flatfy.ua/redirect/4685707194,631,USD,631.00,2,126,5.01,Дарницький,"3 кімнати, 126 / 78 / 14 м², поверх 23 з 30, з ремонтом, монолітно-каркасний, 2010, сьогодні о 11:42, Створено сьогодні о 11:42",126 м²,$ 631
flatfy,https://flatfy.ua/redirect/4437752503,1300,USD,1300.00,2,80,16.25,Нижній Печерськ,"3 кімнати, 80 м², поверх 17 з 24, з ремонтом, монолітно-каркасний, 2018, сьогодні о 12:58, Створено сьогодні о 12:58",80 м²,$ 1 300
flatfy,https://flatfy.ua/redirect/4671797386,750,USD,750.00,2,67,11.19,Жуляни,"3 кімнати, 67 / - / 12 м², поверх 9 з 9, з ремонтом, панельні, 2015, сьогодні о 13:11, Створено сьогодні о 13:11",67 м²,$ 750
flatfy,https://flatfy.ua/redirect/4687593194,293,USD,293.00,0,33,8.88,Дніпровський,"1 кімната, 33 / 20 / 8 м², поверх 3 з 16, з ремонтом, утеплена панель, 1975, сьогодні о 08:53, Створено сьогодні о 08:53",33 м²,$ 293
