source,url,price_text,rooms_text,sqm_text,district,listed_at_text
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-vidovo-2-kmnatno-kvartiri-m-demvska-IDYH3jj.html?search_reason=search%7Cpromoted,"27 000 грн..css-o2j8v0{color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}.css-rbevy1{font-size:var(
        --fontSizeBodyExtraSmall,
        12px
    );line-height:var(
        --lineHeightRegular,
        16px
    );color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}.css-zf56ej{color:var(
        --colorsForegroundPrimary,
        #02282C
    );font-family:var(--fontFamilyPrimary, Geomanist, sans-serif);font-weight:700;-webkit-text-decoration:none;text-decoration:none;font-size:var(
        --fontSizeBodyExtraSmall,
        12px
    );line-height:var(
        --lineHeightRegular,
        16px
    );color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}Договірна","Оренда  Видової, 2-кімнатної квартири, м. Деміївська",,Голосіївський,"Київ, Голосіївський - 09 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-2-h-kmnatnu-kvartiru-dashkevicha-26-yaksniy-remont-ID10rLBa.html?search_reason=search%7Cpromoted,13 000 грн.,"Здам 2 х кімнатну квартиру Дашкевича 26, якісний ремонт.",,Дніпровський,"Київ, Дніпровський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/metro-minskaya-obolonskiy-prospekt-18-a-ID10zPIN.html?search_reason=search%7Cpromoted,28 000 грн.,"Метро Минская, Оболонский проспект, 18 а",,Оболонський,"Київ, Оболонський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartiri-dovgostrokovo-ID10thpc.html?search_reason=search%7Corganic,44 293.08 грн.,Оренда квартири довгостроково,,Печерський,"Київ, Печерський - Сьогодні о 03:23"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2-kmnatno-kvartiri-70m-kv-persha-zdacha-zhk-nivki-park-3hv-metro-nivki-ID10r5T4.html?search_reason=search%7Corganic,44 293.08 грн.Договірна,"Оренда 2 кімнатної квартири, 70м.кв ПЕРША ЗДАЧА ЖК «НИВКИ ПАРК» 3хв метро Нивки",,Святошинський,"Київ, Святошинський - Сьогодні о 16:17"
olx,https://www.olx.ua/d/uk/obyavlenie/persha-zdacha-kvartiri-lyuks-110m2-poznyaki-urlvska-4a-ID10sjxt.html?search_reason=search%7Corganic,50 937.04 грн.,‼️Перша здача квартири Люкс 110м2 Позняки Урлівська 4А,110м2,Дарницький,"Київ, Дарницький - Сьогодні о 13:25"
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-svoyu-kvartiru-po-vul-zvrinetsky-zhk-trumf-ID10wZBF.html?search_reason=search%7Corganic,88 586.16 грн.Договірна,"Здам свою квартиру по вул.Звіринецькій ЖК ""Тріумф""",,Печерський,"Київ, Печерський - Сьогодні о 06:14"
olx,https://www.olx.ua/d/uk/obyavlenie/persha-zdacha-gotov-doukomplektuvati-kvartiru-pd-zapit-orendarya-3k-kvartira-gmir-20-zhk-patrotika-metro-poznyaki-10-hv-pshki-ID10sHJj.html?search_reason=search%7Corganic,30 000 грн.,Перша здача. Готові доукомплектувати квартиру під запит орендаря. 3к квартира. Гмирі 20. ЖК Патріотика метро Позняки -10 хв пішки,,Дарницький,"Київ, Дарницький - Сьогодні о 12:24"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-zhk-dinastya-vul-lipkvskogo-37b-vd-vlasnika-ID10sfyz.html?search_reason=search%7Corganic,22 000 грн.,Оренда 1к квартири ЖК Династія вул. Липківського 37б від Власника,,Солом'янський,"Київ, Солом'янський - Сьогодні о 07:56"
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-kvartiru-stants-metro-obolon-2hv-zhk-obolon-sky-ID10yAle.html?search_reason=search%7Corganic,25 000 грн.,Здам квартиру станці метро оболонь 2хв. Жк Obolon sky,,Оболонський,"Київ, Оболонський - Сьогодні о 07:02"
