source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-vidovo-2-kmnatno-kvartiri-m-demvska-IDYH3jj.html?search_reason=search%7Cpromoted,27000,UAH,609.93,1,,,Голосіївський,"Оренда  Видової, 2-кімнатної квартири, м. Деміївська",,"27 000 грн..css-o2j8v0{color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}.css-rbevy1{font-size:var(
        --fontSizeBodyExtraSmall,
        12px
    );line-height:var(
        --lineHeightRegular,
        16px
    );color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}.css-zf56ej{color:var(
        --colorsForegroundPrimary,
        #02282C
    );font-family:var(--fontFamilyPrimary, Geomanist, sans-serif);font-weight:700;-webkit-text-decoration:none;text-decoration:none;font-size:var(
        --fontSizeBodyExtraSmall,
        12px
    );line-height:var(
        --lineHeightRegular,
        16px
    );color:var(--colorsForegroundSecondary);font-weight:var(--fontWeightRegular);width:100%;text-align:right;}Договірна"
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-2-h-kmnatnu-kvartiru-dashkevicha-26-yaksniy-remont-ID10rLBa.html?search_reason=search%7Cpromoted,13000,UAH,293.67,1,,,Дніпровський,"Здам 2 х кімнатну квартиру Дашкевича 26, якісний ремонт.",,13 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2-kmnatno-kvartiri-70m-kv-persha-zdacha-zhk-nivki-park-3hv-metro-nivki-ID10r5T4.html?search_reason=search%7Corganic,44293,UAH,1000.58,1,,,Святошинський,"Оренда 2 кімнатної квартири, 70м.кв ПЕРША ЗДАЧА ЖК «НИВКИ ПАРК» 3хв метро Нивки",,44 293.08 грн.Договірна
olx,https://www.olx.ua/d/uk/obyavlenie/persha-zdacha-gotov-doukomplektuvati-kvartiru-pd-zapit-orendarya-3k-kvartira-gmir-20-zhk-patrotika-metro-poznyaki-10-hv-pshki-ID10sHJj.html?search_reason=search%7Corganic,30000,UAH,677.70,2,,,Дарницький,Перша здача. Готові доукомплектувати квартиру під запит орендаря. 3к квартира. Гмирі 20. ЖК Патріотика метро Позняки -10 хв пішки,,30 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-zhk-dinastya-vul-lipkvskogo-37b-vd-vlasnika-ID10sfyz.html?search_reason=search%7Corganic,22000,UAH,496.98,0,,,Солом'янський,Оренда 1к квартири ЖК Династія вул. Липківського 37б від Власника,,22 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/poznyaki-mshugi-1-4-zdam-prostoru-3k-kvartiru-ID10sNvn.html?search_reason=search%7Corganic,25000,UAH,564.75,2,,,Дарницький,Позняки Мішуги 1/4 Здам Простору 3к квартиру,,25 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdatsya-1-kmnatna-kvartira-zhk-krishtalev-dzherela-2-ID10wH8g.html?search_reason=search%7Corganic,20000,UAH,451.80,0,,,Голосіївський,"Здається 1 кімнатна квартира, ЖК «Кришталеві джерела»-2",,20 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1-k-vul-yordanska-4-metro-obolon-10-hv-dream-town-ID10zrKo.html?search_reason=search%7Cpromoted,12000,UAH,271.08,0,,,Оболонський,"Оренда 1-к вул. Йорданська 4 метро Оболонь 10 хв, Dream Town",,12 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-3k-kvartira-110kvm-zhk-mitets-konovaltsya-32b-ID10ziEY.html?search_reason=search%7Cpromoted,35434,UAH,800.45,2,110,7.28,Печерський,Оренда 3к квартира 110квм ЖК Митець Коновальця 32Б,110квм,35 434.46 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2-kmnatno-kvartiri-v-suchasnomu-budinku-m-pecherska-ID10yxJ8.html?search_reason=search%7Cpromoted,80000,UAH,1807.19,1,,,Печерський,Оренда 2 -кімнатної квартири в сучасному будинку  м.  Печерська,,80 000 грн.Договірна
